site,source_url,saved_path,error
https://deheus.com.vn,https://deheus.com.vn/favicon.ico,logos/deheus.com.vn_4e03f72c.png,
https://crocs.com.uy,https://crocs.com.uy/apple-touch-icon.png,logos/crocs.com.uy_96af7018.png,
https://baywa-re.es,https://baywa-re.es/favicon.ico,logos/baywa-re.es_8fcf0903.png,
https://pirtek.be,https://pirtek.be/favicon.ico,logos/pirtek.be_54bcc34c.png,
https://engie.co.uk,https://engie.co.uk/favicon.ico,logos/engie.co.uk_77b9d7dd.png,
https://mazda-autohaus-lackmann-sendenhorst.de,https://mazda-autohaus-lackmann-sendenhorst.de/favicon.ico,logos/mazda-autohaus-lackmann-sendenhorst.de_e30ad08e.png,
https://bakertilly.es,https://bakertilly.es/favicon.ico,logos/bakertilly.es_80f34176.png,
https://ebay.cn,https://ebay.cn/favicon.ico,logos/ebay.cn_ca1ee688.png,
https://berlitz-dublin.ie,https://berlitz-dublin.ie/favicon.ico,logos/berlitz-dublin.ie_87717dd1.png,
https://menschenfuermenschen.at,https://menschenfuermenschen.at/favicon.ico,logos/menschenfuermenschen.at_9c93e2c9.jpg,
https://veolia.com.ru,https://veolia.com.ru/favicon.ico,logos/veolia.com.ru_62f968b1.png,
https://allianz.nl,https://allianz.nl/favicon.ico,logos/allianz.nl_7c7dc3c2.png,
https://aamcoconyersga.com,https://aamcoconyersga.com/favicon.ico,logos/aamcoconyersga.com_6dc4950e.jpg,
https://bmw-motorrad-euromotos-lyon.fr,https://bmw-motorrad-euromotos-lyon.fr/favicon.ico,logos/bmw-motorrad-euromotos-lyon.fr_3768b263.png,
https://julis-nuernberg.de,https://julis-nuernberg.de/favicon.ico,logos/julis-nuernberg.de_bc659b36.png,
https://bauder.lt,https://bauder.lt/favicon.ico,logos/bauder.lt_9185cd3a.png,
https://seasonsrehab.in,https://seasonsrehab.in/favicon.ico,logos/seasonsrehab.in_f6aec802.png,
https://menicon.de,https://menicon.de/apple-touch-icon-precomposed.png,logos/menicon.de_c2d36db3.svg,
https://berlitz-augsburg.de,https://berlitz-augsburg.de/favicon.ico,logos/berlitz-augsburg.de_e6c253ca.webp,
https://aamcoanaheim.net,https://aamcoanaheim.net/favicon.ico,logos/aamcoanaheim.net_adfcaa9e.svg,
https://mazda-autohaus-roessel-birkenau.de,https://mazda-autohaus-roessel-birkenau.de/favicon.ico,logos/mazda-autohaus-roessel-birkenau.de_e30ad08e.png,
https://panpuri.fr,https://panpuri.fr/favicon.ico,logos/panpuri.fr_4775d641.ico,
https://affidea.pt,https://affidea.pt/favicon.ico,logos/affidea.pt_62e877e5.svg,
https://mazda-poznan-voyager.pl,https://mazda-poznan-voyager.pl/favicon.ico,logos/mazda-poznan-voyager.pl_16a051c0.png,
https://orient-food.sk,https://orient-food.sk/favicon.ico,logos/orient-food.sk_2a6c6cb1.ico,
https://savethechildren.ca,https://savethechildren.ca/favicon.ico,logos/savethechildren.ca_a9d2c462.webp,
https://ebayglobalshipping.com,https://ebayglobalshipping.com/favicon.ico,logos/ebayglobalshipping.com_fb4031a6.png,
https://mazda-autohaus-wassing-ahaus-wuellen.de,https://mazda-autohaus-wassing-ahaus-wuellen.de/favicon.ico,logos/mazda-autohaus-wassing-ahaus-wuellen.de_e30ad08e.png,
